name,location.coordinate.longitude,location.coordinate.latitude,review_count,rating,categories
El Camión,-122.375950636922,47.6757183480542,467,4,"[[""Mexican"",""mexican""],[""Food Trucks"",""foodtrucks""]]"
The Monkey Bridge,-122.379916906357,47.6685303252286,359,4,"[[""Vietnamese"",""vietnamese""],[""Sandwiches"",""sandwiches""]]"
Señor Moose Café,-122.381638,47.666637,629,4,"[[""Mexican"",""mexican""]]"
The Matador,-122.38590340838,47.668524396141,506,3.5,"[[""Mexican"",""mexican""],[""Bars"",""bars""],[""Tex-Mex"",""tex-mex""]]"
Bastille Cafe & Bar,-122.3836594,47.6664391,750,3.5,"[[""Bars"",""bars""],[""French"",""french""],[""Breakfast \u0026 Brunch"",""breakfast_brunch""]]"
Ballard Annex Oyster House,-122.3850021,47.6679993,214,3.5,"[[""Seafood"",""seafood""],[""Live/Raw Food"",""raw_food""]]"
Pho Big Bowl,-122.38705422959,47.668837642244995,245,4,"[[""Vietnamese"",""vietnamese""]]"
The Other Coast Cafe,-122.383794,47.666645,289,4,"[[""Delis"",""delis""],[""Sandwiches"",""sandwiches""],[""Salad"",""salad""]]"
Pico Cafe,-122.398674,47.675537,17,3.5,"[[""Bakeries"",""bakeries""],[""Cafes"",""cafes""],[""Breakfast \u0026 Brunch"",""breakfast_brunch""]]"
Delancey,-122.3747864,47.6793709,352,4,"[[""Pizza"",""pizza""]]"
Benito's Chicago Eatery,-122.3764725,47.6739807,70,4,"[[""Hot Dogs"",""hotdog""],[""Pizza"",""pizza""],[""Sandwiches"",""sandwiches""]]"
King's Hardware,-122.3829427,47.6660312,511,4,"[[""Pubs"",""pubs""],[""American (Traditional)"",""tradamerican""]]"
Ballard Smoke Shop,-122.386147,47.668213,108,4,"[[""American (Traditional)"",""tradamerican""],[""Dive Bars"",""divebars""],[""Breakfast \u0026 Brunch"",""breakfast_brunch""]]"
Percy's & Co.,-122.383002080592,47.6662415951791,137,4,"[[""Gastropubs"",""gastropubs""],[""Cocktail Bars"",""cocktailbars""]]"
Golden Beetle,-122.3809586,47.6688995,274,3.5,"[[""Mediterranean"",""mediterranean""]]"
Pasta Bella,-122.376303300261,47.6721581071615,175,4,"[[""Italian"",""italian""]]"
Ballard Pizza Company,-122.3812332,47.6645699,220,4,"[[""Pizza"",""pizza""],[""Italian"",""italian""]]"
Staple & Fancy Mercantile,-122.3800735,47.6635399,456,4,"[[""Seafood"",""seafood""],[""Italian"",""italian""]]"
Li'l Woody's,-122.3839726,47.6688329,132,3.5,"[[""Burgers"",""burgers""]]"
Hattie's Hat Restaurant,-122.383224,47.666061,300,3.5,"[[""American (Traditional)"",""tradamerican""],[""Lounges"",""lounges""],[""Breakfast \u0026 Brunch"",""breakfast_brunch""]]"
The Sexton,-122.383743748069,47.6667836308479,171,3.5,"[[""American (Traditional)"",""tradamerican""],[""Cocktail Bars"",""cocktailbars""],[""Soul Food"",""soulfood""]]"
