category,long,lat
Cajun/Creole,-122.4063607,47.6739645
American (New),-122.407371,47.673492
Seafood,-122.407372,47.673492
Italian,-122.398535,47.675805
Burgers,-122.4065187,47.6748921
Burgers,-122.39794921875,47.6677894592285
Bakeries,-122.38782088382,47.671821301106
Thai,-122.386528,47.668499
Korean,-122.3878017,47.6713381
Lebanese,-122.387903854251,47.686869353056
